reconstruction_error,threshold,is_anomaly
0.002004107826145062,0.003554298248540073,0
0.0007844041618048007,0.003554298248540073,0
0.0019056493336921242,0.003554298248540073,0
0.0012655410465132824,0.003554298248540073,0
0.0013912954514793228,0.003554298248540073,0
0.0011665867024078006,0.003554298248540073,0
0.0010392115427420951,0.003554298248540073,0
0.0026620389949007684,0.003554298248540073,0
0.001910338460272614,0.003554298248540073,0
0.002507611583713263,0.003554298248540073,0
0.0019926458719276684,0.003554298248540073,0
0.002354980103305634,0.003554298248540073,0
0.001173050130466869,0.003554298248540073,0
0.0014463731110631003,0.003554298248540073,0
0.0006618469015480667,0.003554298248540073,0
0.0013503785338230237,0.003554298248540073,0
0.0020904048187087845,0.003554298248540073,0
0.04627093509068261,0.003554298248540073,1
0.046296292419817385,0.003554298248540073,1
0.0018636035370157148,0.003554298248540073,0
0.0012207149308972034,0.003554298248540073,0
0.0020481625842534252,0.003554298248540073,0
0.002221590846806377,0.003554298248540073,0
0.04695934590158863,0.003554298248540073,1
0.0011660986966917977,0.003554298248540073,0
0.0014701110173407062,0.003554298248540073,0
0.0018516703617459324,0.003554298248540073,0
0.0023834602173210115,0.003554298248540073,0
0.0008189049901066299,0.003554298248540073,0
0.0028873461054129703,0.003554298248540073,0
0.0013215488007664788,0.003554298248540073,0
0.0008532376592691293,0.003554298248540073,0
0.001036102927901348,0.003554298248540073,0
0.0016548697438612309,0.003554298248540073,0
0.0030386472159903296,0.003554298248540073,0
0.00022260383286690441,0.003554298248540073,0
0.001868502819384979,0.003554298248540073,0
0.0007468149390565344,0.003554298248540073,0
0.0009988518122571398,0.003554298248540073,0
0.0017558329724400607,0.003554298248540073,0
0.00124534379251787,0.003554298248540073,0
0.00031686793079536285,0.003554298248540073,0
0.0024864677899493278,0.003554298248540073,0
0.04781916630099369,0.003554298248540073,1
0.0006644250591519913,0.003554298248540073,0
0.0012571628179663889,0.003554298248540073,0
0.00206255084779208,0.003554298248540073,0
0.0016309703014153528,0.003554298248540073,0
0.0013241053608847462,0.003554298248540073,0
0.0017193265852522418,0.003554298248540073,0
0.001985887233847372,0.003554298248540073,0
0.001217432760619846,0.003554298248540073,0
0.0020643009738925276,0.003554298248540073,0
0.0013870219196713092,0.003554298248540073,0
0.001822819498068472,0.003554298248540073,0
0.001819883251426492,0.003554298248540073,0
0.0015639061453833884,0.003554298248540073,0
0.0012253460510725242,0.003554298248540073,0
0.0012999769004824332,0.003554298248540073,0
0.0017411693743053479,0.003554298248540073,0
0.0012174995117037494,0.003554298248540073,0
0.0018189900534295864,0.003554298248540073,0
0.0014120063408287601,0.003554298248540073,0
0.0005285944342029373,0.003554298248540073,0
0.001058167493290775,0.003554298248540073,0
0.001751236076568688,0.003554298248540073,0
0.0016684377179438069,0.003554298248540073,0
0.0012296418102107636,0.003554298248540073,0
0.0013287155397012649,0.003554298248540073,0
0.0016765848584683663,0.003554298248540073,0
0.0003505691153878723,0.003554298248540073,0
0.0021159163432038683,0.003554298248540073,0
0.0008681267209427194,0.003554298248540073,0
0.002419922675895506,0.003554298248540073,0
0.0021471784007714347,0.003554298248540073,0
0.00227367441686191,0.003554298248540073,0
0.0017077140427953453,0.003554298248540073,0
0.0012892931443822771,0.003554298248540073,0
0.0010225978629335335,0.003554298248540073,0
0.0017068524509251135,0.003554298248540073,0
0.0015226385159409473,0.003554298248540073,0
0.046159693079500026,0.003554298248540073,1
0.0021185205852184245,0.003554298248540073,0
0.0015806158992832887,0.003554298248540073,0
0.0017105681146293663,0.003554298248540073,0
0.002758371219177696,0.003554298248540073,0
0.0005470538889385518,0.003554298248540073,0
0.0028199497726640603,0.003554298248540073,0
0.0025926927951418245,0.003554298248540073,0
0.0011477839021859259,0.003554298248540073,0
0.0016051530278673209,0.003554298248540073,0
0.0036624436558761043,0.003554298248540073,1
0.002080177205815289,0.003554298248540073,0
0.0025968158194650433,0.003554298248540073,0
0.0016419120505418688,0.003554298248540073,0
0.00215196524166562,0.003554298248540073,0
0.0009133326419193306,0.003554298248540073,0
0.0006327320892903429,0.003554298248540073,0
0.002214721930249715,0.003554298248540073,0
0.0016749733921265927,0.003554298248540073,0
0.0019715633675900096,0.003554298248540073,0
0.003514904979445751,0.003554298248540073,0
0.0010310221799733356,0.003554298248540073,0
0.0009311411143649583,0.003554298248540073,0
0.0032580312552164172,0.003554298248540073,0
0.0022763463635560263,0.003554298248540073,0
0.002350762877860986,0.003554298248540073,0
0.0017906253121338811,0.003554298248540073,0
0.0022300439959460493,0.003554298248540073,0
0.0028807463685149625,0.003554298248540073,0
0.0011145391318451313,0.003554298248540073,0
0.0003167565906658684,0.003554298248540073,0
0.0020431657885132386,0.003554298248540073,0
0.000398887148288141,0.003554298248540073,0
0.001701902620903011,0.003554298248540073,0
0.0028479954358270193,0.003554298248540073,0
0.000651331384184058,0.003554298248540073,0
0.0006479086649470162,0.003554298248540073,0
0.0014156848748949835,0.003554298248540073,0
0.0004556754995028623,0.003554298248540073,0
0.001765533924882163,0.003554298248540073,0
0.0008112693143639458,0.003554298248540073,0
0.0028970259713574113,0.003554298248540073,0
0.0004977613639614539,0.003554298248540073,0
0.0027331064640559663,0.003554298248540073,0
0.0015117537590558553,0.003554298248540073,0
0.000986836796562976,0.003554298248540073,0
0.0012926409226546472,0.003554298248540073,0
0.0012355784327445613,0.003554298248540073,0
0.002073049304049488,0.003554298248540073,0
0.0008846102927590371,0.003554298248540073,0
0.0008847389894470711,0.003554298248540073,0
0.0013422133248656924,0.003554298248540073,0
0.002064158392854931,0.003554298248540073,0
0.000574879148245091,0.003554298248540073,0
0.0011568276467877523,0.003554298248540073,0
0.0010635681758190694,0.003554298248540073,0
0.001564489491021919,0.003554298248540073,0
0.0029733408429847116,0.003554298248540073,0
0.0013330731144339848,0.003554298248540073,0
0.0017475998119762732,0.003554298248540073,0
0.0016972558100096927,0.003554298248540073,0
0.0004481071569279588,0.003554298248540073,0
0.0021493349003448774,0.003554298248540073,0
0.0010368478489732505,0.003554298248540073,0
0.002488596806805743,0.003554298248540073,0
0.0021852925032722335,0.003554298248540073,0
0.001702620898861639,0.003554298248540073,0
0.001855543694433028,0.003554298248540073,0
0.002225800065890217,0.003554298248540073,0
0.0014706735621433419,0.003554298248540073,0
0.002212499915093703,0.003554298248540073,0
0.003657057960841807,0.003554298248540073,1
0.0028830867160142266,0.003554298248540073,0
0.0029769973673957188,0.003554298248540073,0
0.0016848616761071292,0.003554298248540073,0
0.001376599049888414,0.003554298248540073,0
0.0014853423206492313,0.003554298248540073,0
0.003948770465557224,0.003554298248540073,1
0.0013833776941627478,0.003554298248540073,0
0.0011954290786572977,0.003554298248540073,0
0.0013914091668184984,0.003554298248540073,0
0.0012002093880276094,0.003554298248540073,0
0.001956960618328755,0.003554298248540073,0
0.0013232075958952622,0.003554298248540073,0
0.0011359810707990696,0.003554298248540073,0
0.0017407641391385788,0.003554298248540073,0
0.00040663779034305365,0.003554298248540073,0
0.0008806979384198189,0.003554298248540073,0
0.0012953294846364588,0.003554298248540073,0
0.0015739693142232047,0.003554298248540073,0
0.001418309845265318,0.003554298248540073,0
0.001223405816894336,0.003554298248540073,0
0.0019808847833858614,0.003554298248540073,0
0.0014825827718027873,0.003554298248540073,0
0.0013298531943725309,0.003554298248540073,0
0.0006634955729906673,0.003554298248540073,0
0.0011103814621168126,0.003554298248540073,0
0.000780813514047764,0.003554298248540073,0
0.0027338839310781676,0.003554298248540073,0
0.0018659446705978134,0.003554298248540073,0
0.0004983770153539536,0.003554298248540073,0
0.0012045848219617036,0.003554298248540073,0
0.0011680887999612041,0.003554298248540073,0
